tss-1r_m1_rtka	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record		support_data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_12V_DPU_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Positive 12V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_12V_DPU_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Positive 12V DPU		data											
tss-1r_m1_rtka	Negative_12V_DPU_1_Telemetry_Unitless		na	Negative 12V DPU	-12V DPU Monitor		data											
tss-1r_m1_rtka	Negative_12V_DPU_2_Voltage_volts	V	na	Negative 12V DPU	-12V DPU Monitor		data											
tss-1r_m1_rtka	Data_Quality_Negative_12V_DPU	Integer	na	Data_Quality_Negative_12V_DPU	Data Quality Indicator for Negative 12V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_12V_DPU_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Negative 12V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_12V_DPU_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Negative 12V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_12V_DPU_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Negative 12V DPU		data											
tss-1r_m1_rtka	Ref_Supply_1_Telemetry_Unitless		na	Ref Supply	Reference Supply		data											
tss-1r_m1_rtka	Ref_Supply_2_Voltage_volts	V	na	Ref Supply	Reference Supply		data											
tss-1r_m1_rtka	Data_Quality_Ref_Supply	Integer	na	Data_Quality_Ref_Supply	Data Quality Indicator for Ref Supply		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Ref_Supply_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Ref Supply		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Ref_Supply_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Ref Supply		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Ref_Supply_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Ref Supply		data											
