cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	dict_key	depend_2	funct	labl_ptr_2	virtual	arr_dim	arr_index	chan_name	delta_minus_var	delta_plus_var	flux_ptr	mnemonic	si_conversion	species	time_base	time_scale	variable_purpose	v_parent
CDF_CHAR	21	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R25_NetoSi_SECT_ENERGY_LABL	R25_NetoSi_SECT_ENERGY_LABL	R25 NetoSi SECT									A21		metadata																									
CDF_FLOAT	1	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R25_NetoSi_SECT_ENERGY_DELTAMINUS	R25_NetoSi_SECT_ENERGY_DELTAMINUS	Minus values for Energy Bins for R25 NetoSi SECT	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy lower extent	support_data						log																			
CDF_FLOAT	1	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R25_NetoSi_SECT_ENERGY_DELTAPLUS	R25_NetoSi_SECT_ENERGY_DELTAPLUS	Plus values for Energy Bins for R25 NetoSi SECT	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy upper extent	support_data						log																			
CDF_FLOAT	1	1:[25]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	C_C_Rate	C_C_Rate	C count rate side C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	C rate C	data	spectrogram		C_ENERGY	C_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											C_C&gt;rate						
CDF_FLOAT	1	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	C_ENERGY	C_ENERGY	Energy Bins for C		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				C_ENERGY_LABL		log										C_ENERGY_DELTAMINUS	C_ENERGY_DELTAPLUS		C_ENERGY						
CDF_CHAR	21	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	C_ENERGY_LABL	C_ENERGY_LABL	C									A21		metadata																									
CDF_FLOAT	1	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	C_ENERGY_DELTAMINUS	C_ENERGY_DELTAMINUS	Minus values for Energy Bins for C	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	C ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	C_ENERGY_DELTAPLUS	C_ENERGY_DELTAPLUS	Plus values for Energy Bins for C	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	C ENERGY DELTAPLUS	support_data						log																			
CDF_INT4	1	2:[5,8]	T/TT	OOOOO	psp_isois-epihi_l2-let2-rates3600	R1C_Ne_BIN	R1C_Ne_BIN	R1C Ne Rates			0	1000	0	16777215	-2147483648	Epoch	I8	R1C Ne BIN	data	spectrogram		R1_Ne_BIN_ENERGY	R1_Ne_BIN_ENERGY_LABL		linear		particle_flux&gt;differential_directional_number_rate	R1C_Ne_BIN_MASS_BIN		R1C_Ne_BIN_MASS_BIN_LABL								R1C_Ne_BIN						
CDF_FLOAT	1	1:[5]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R1_Ne_BIN_ENERGY	R1_Ne_BIN_ENERGY	Energy Bins for R1 Ne BIN	Bin characteristic energy.	MeV/n			0.0	1000.0	-1.0		F6.1	Energy	support_data						log										R1_Ne_BIN_ENERGY_DELTAMINUS	R1_Ne_BIN_ENERGY_DELTAPLUS								
CDF_CHAR	21	1:[5]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R1_Ne_BIN_ENERGY_LABL	R1_Ne_BIN_ENERGY_LABL	R1 Ne Bin									A21		metadata																									
CDF_INT1	1	1:[8]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R1C_Ne_BIN_MASS_BIN	R1C_Ne_BIN_MASS_BIN	R1C_Ne_BIN_MASS_BIN		segment			0	99			I2	R1C_Ne_BIN_MASS_BIN	support_data																									
CDF_CHAR	11	1:[8]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R1C_Ne_BIN_MASS_BIN_LABL	R1C_Ne_BIN_MASS_BIN_LABL	R1C Ne Rates Mass bin number for use in histograms									A11		metadata																									
CDF_FLOAT	1	1:[5]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R1_Ne_BIN_ENERGY_DELTAMINUS	R1_Ne_BIN_ENERGY_DELTAMINUS	Minus values for Energy Bins for R1 Ne BIN	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy lower extent	support_data						log																			
CDF_FLOAT	1	1:[5]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates3600	R1_Ne_BIN_ENERGY_DELTAPLUS	R1_Ne_BIN_ENERGY_DELTAPLUS	Plus values for Energy Bins for R1 Ne BIN	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy upper extent	support_data						log																			
