ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	QUALITY_BITMASK	Quality bitmask	Computer readable quality parameter	0x1: Bad value, 0x2: Close mode, 0x4: High flux mode	support_data												EPOCH				Z4	Quality bitmask										65535	32767	0	linear		32767	0				
ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ion	EPOCH	Epoch	Nanoseconds since J2000	Start of acquisition interval.	support_data		nanoseconds				1 second											Time										9999-12-31T23:59:59.999999999	2020-06-15T12:37:28.000000000	2020-06-15T12:22:28.000000000	linear		2050-01-01T00:00:00.000000000	2000-01-01T00:00:00.000000000			DELTA_EPOCH	
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ion	DELTA_EPOCH	Delta epoch	Accumulation period in seconds		support_data		s										EPOCH				I	Delta epoch										4294967295										
ASTRO	CDF_REAL4	1	1:[64]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Ion_Flux	Ion Flux	Particle flux in magnet channel	Detector response can be different for different ion species. The calibrated intensity has been obtained using the response for Hydrogen.	data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Ion_Bins_Low_Energy		time_series	G10.4	Ion Flux										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0		Ion_Uncertainty	Ion_Uncertainty	
ASTRO	CDF_REAL4	1	1:[64]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Ion_Uncertainty	Ion Flux Uncertainty	Uncertainty in ion flux		support_data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Ion_Bins_Low_Energy		time_series	G10.4	Ion Flux Sigma										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[64]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Ion_Rate	Ion Count Rate	Particle count rate in magnet channel		support_data		counts / s										EPOCH	Ion_Bins_Low_Energy		time_series	G10.4	Ion Count Rate										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[64]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Ion_Bins_Low_Energy	Ion Bins Low Energy	Lowest energy of each bin for ion flux		support_data		MeV			1.602e-13&gt;J											G10.4		Ion_Bins_Text												log						Ion_Bins_Width	
ASTRO	CDF_REAL4	1	1:[64]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Ion_Bins_Width	Ion Bins Width	Width of each energy bin for ion flux		support_data		MeV			1.602e-13&gt;J											G10.4																					
ASTRO	CDF_CHAR	25	1:[64]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Ion_Bins_Text	Ion Bins Text	Text description of each energy bin for ion flux		metadata																A25																					
ASTRO	CDF_REAL4	1	1:[16]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Flux	Alpha Flux	High energy particle flux in magnet channel	In this high energy range, protons can penetrate the detector and are rejected by the anti-coincidence filter. Thus, they are not counted in this product. Heavier ion species are present. Intensity is calibrated using the detector response for Helium-4.	data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Alpha_Bins_Low_Energy		time_series	G10.4	Alpha Flux										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0		Alpha_Uncertainty	Alpha_Uncertainty	
ASTRO	CDF_REAL4	1	1:[16]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Uncertainty	Alpha Flux Uncertainty	Uncertainty in alpha flux		support_data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Alpha_Bins_Low_Energy		time_series	G10.4	Alpha Flux Sigma										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[16]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Rate	Alpha Count Rate	High energy particle count rate in magnet channel		support_data		counts / s										EPOCH	Alpha_Bins_Low_Energy		time_series	G10.4	Alpha Count Rate										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[16]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Bins_Low_Energy	Alpha Bins Low Energy	Lowest energy of each bin for alpha flux		support_data		MeV			1.602e-13&gt;J											G10.4		Alpha_Bins_Text												log						Alpha_Bins_Width	
ASTRO	CDF_REAL4	1	1:[16]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Bins_Width	Alpha Bins Width	Width of each energy bin for alpha flux		support_data		MeV			1.602e-13&gt;J											G10.4																					
ASTRO	CDF_CHAR	25	1:[16]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Bins_Text	Alpha Bins Text	Text description of each energy bin for alpha flux		metadata																A25																					
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ion	QUALITY_FLAG	Quality flag	Data quality flag	0:Bad, 1:Known problems, 2:Survey data, 3:Good, 4:Excellent	support_data												EPOCH				I	Quality flag										255	4	0	linear		4	0				
ASTRO	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ion	QUALITY_BITMASK	Quality bitmask	Computer readable quality parameter	0x1: Bad value, 0x2: Close mode, 0x4: High flux mode	support_data												EPOCH				Z4	Quality bitmask										65535	32767	0	linear		32767	0				
ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
