Num	Metadata File Name	SPASE Resource ID from XML description	SPASE Revise	SPASE Review	Metadata Contact	Revision Note	Revised SPASE Resource ID	Review Notes
066	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/Proton/Fluxes/P1D.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/Proton/Fluxes/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
067	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/HeavyIon/Fluxes/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/HeavyIon/Fluxes/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
068	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/HeavyIon/Fluxes/PT17M.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/HeavyIon/Fluxes/PT17M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
069	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/HeavyIon/Fluxes/P1D.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/HeavyIon/Fluxes/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
070	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/PT5M.xml	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/PT5M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
071	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
072	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/PT11.5S.xml	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/PT11.5S	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
073	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/P1D.xml	NASA/NumericalData/ACE/EPAM/LEMS120/SpacecraftFrame/Sectored/Ion/CountRates/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
074	NASA/NumericalData/ACE/EPAM/LEMS120/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS120/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
075	NASA/NumericalData/ACE/EPAM/LEMS120/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT17M.xml	NASA/NumericalData/ACE/EPAM/LEMS120/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT17M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
