									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
SMWG/Person/Alan.Loh	Alan Loh	Alan	Alan	Loh	A. Loh	LESIA, CNRS, Observatoire de Paris, PSL			N_N
SMWG/Person/Alan.M.Levine	Alan M. Levine	Alan	Alan, M.	Levine	A.M. Levine	Massachusetts Institute of Technology			N_I_N
SMWG/Person/Alan.M.Title	Alan M. Title	Alan	Alan, M.	Title	A.M. Title	Lockheed Palo Alto Research Laboratory		SDO	N_I_N
SMWG/Person/Alan.Mortimer	Alan Mortimer	Alan	Alan	Mortimer	A. Mortimer	Canadian Space Agency			N_N
SMWG/Person/Alan.P.Smale	Alan P. Smale	Alan	Alan, P.	Smale	A.P. Smale	GSFC-Code 660.2			N_I_N
SMWG/Person/Alan.R.Hargens	Alan R. Hargens	Alan	Alan, R.	Hargens	A.R. Hargens	University of California, San Diego,			N_I_N
SMWG/Person/Alan.R.Johnston	Alan R. Johnston	Alan	Alan, R.	Johnston	A.R. Johnston	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Alan.Rosen	Alan Rosen	Alan	Alan	Rosen	A. Rosen	TRW Incorporated			N_N
SMWG/Person/Alan.Stern	Alan Stern	Alan	Alan	Stern	A. Stern	Southwest Research Institute			N_N
SMWG/Person/Alan.W.P.Thomson	Alan W. P. Thomson	Alan	Alan, W. P.	Thomson	A.W.P. Thomson	British Geological Survey			N_I_I_N
SMWG/Person/Alastair.C.Durney	Alastair C. Durney	Alastair	Alastair, C.	Durney	A.C. Durney	ESA, European Space Research and Technology Centre			N_I_N
SMWG/Person/Albert.A.Galeev	Albert A. Galeev	Albert	Albert, A.	Galeev	A.A. Galeev	Russian Academy of Sciences			N_I_N
SMWG/Person/Albert.Arking	Albert Arking	Albert	Albert	Arking	A. Arking	Johns Hopkins University			N_N
